times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
16	False	ars_nouveau	`ars_nouveau:source_gem` ↔ foreign essences	`ars_nouveau:imbuement`	magic	M-01	ACCEPT	{'ACCEPT': 16}	every magic mod's essence converts through the same arcane currency.
12	False	ars_nouveau	ars_nouveau Vitalic Sourcelink (consumes mob deaths/babies)	native Sourcelink mechanic	survival	M-02	ACCEPT	{'ACCEPT': 12}	every mob farm — from Naturalist animals to MineColonies livestock — passively charges Source; survival's organic surplu
6	False	ars_nouveau	ars_nouveau spell scrolls / enchanted gear	player trade	economy	M-33	ACCEPT	{'ACCEPT': 6, 'REJECT': 1}	Ars specialist enchants gear for other players' coin — enchant-for-hire is a pure labor service; the knowledge (spell co
5	False	ars_nouveau	ars_nouveau archwood surplus (archwood logs/planks)	create:milling → Ars recipes	create	M-12	ACCEPT	{'REJECT': 2, 'ACCEPT': 3}	archwood is primarily a building block and Ars' own aesthetic material; milling it into dust to feed back into Ars recip
5	False	ars_nouveau	ars_nouveau:archwood_log	create:crushing (M-04 recycling)	create	M-04	ACCEPT	{'ACCEPT': 4, 'REJECT': 1}	Archwood is plentiful once the grove is found; letting Create crushers recycle offcuts to planks/gravel + XP nugget fits
5	False	ars_nouveau	ars_nouveau:source_gem	create:mixing (require as catalyst/ingredient)	create	M-29	ACCEPT	{'REJECT': 1, 'ACCEPT': 4}	overlaps with the M-29 accept above (same cross-route idea, different delivery); also runs into M-10's "no basic compone
4	False	ars_nouveau	ars_nouveau:archwood_log	create:milling	create	M-12	ACCEPT	{'ACCEPT': 4}	archwood logs mill into an arcane sawdust byproduct (or arcane resin) — a small but satisfying reason to run Ars lumber 
4	False	ars_nouveau	ars_nouveau Vitalic/Agronomic Sourcelinks consuming crops and mob deaths	config tie — set Vitalic to draw from colony/farm mob surplus	survival	M-16	ACCEPT	{'ACCEPT': 4}	farm mobs and crop growth passively fuel Source — no extra recipe, just a config pointing the Vitalic sourcelink at the 
4	False	ars_nouveau	any farm/mob surplus (crops, drops)	ars_nouveau sourcelinks (Agronomic/Vitalic)	survival	M-02	ACCEPT	{'ACCEPT': 4}	Farm and mob output feeds Source generation passively — the organic world powers the arcane infrastructure. Players who 
3	False	ars_nouveau	crop surplus / mob death events (farm mods' organic output)	ars_nouveau:agronomic_sourcelink / vitalic_sourcelink (passive drain, not a recipe)	survival	M-02	ACCEPT	{'ACCEPT': 3}	the farm feeds the spell-books — plant more crops, the source jars fill faster; survival and magic are the same loop
