times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
8	False	alcohol_industry	alcohol_industry:alcohol_base (fluid)	extradelight:vat / ars_nouveau:imbuement	magic	M-10	REJECT	{'REJECT': 4, 'ACCEPT': 4}	Alcohol Base is an industrial intermediate (a feedstock fluid); pulling it into arcane infusion as a magic reagent would
3	False	alcohol_industry	alcohol_industry → MineColonies tavern building demand	M-28 colony route	economy	M-28	ACCEPT	{'ACCEPT': 3}	the colony tavern requests a weekly liquor delivery; the distillery player is the designated supplier — the colony route
2	False	alcohol_industry	alcohol_base fluid (intermediate)	create:mixing (as a solvent input)	create	M-12	REJECT	{'REJECT': 1, 'ACCEPT': 1}	alcohol_base is already an output of create:mixing/filling — making it a *further* Create input would be a circular pull
2	False	alcohol_industry	alcohol_industry:alcohol_base (fluid)	create:mixing (as intermediate)	create	M-12	REJECT	{'REJECT': 2}	the dossier confirms alcohol_base is already assembled via create:filling + create:mixing (existing inbound weave); this
2	False	alcohol_industry	alcohol_industry:alcohol_base fluid	extradelight:vat / farmersdelight:cooking as an intermediate solvent (M-12)	survival	M-12	ACCEPT	{'ACCEPT': 2}	distilled base can substitute as a cooking solvent in Vat reductions (flavour extracts, tinctures), pulling the brewery 
2	False	alcohol_industry	alcohol_industry:vodka / alcohol_base (solvent/high-proof spirit)	ars_nouveau:imbuement or occultism:ritual	magic	M-10	ACCEPT	{'ACCEPT': 2}	High-proof industrial spirits are a classic alchemical solvent. A ritual that calls for a bucket of Alcohol Base as a ca
2	False	alcohol_industry	alcohol_industry:alcohol_base (fluid)	irons_spellbooks:alchemist_cauldron_brew	magic	M-12	ACCEPT	{'ACCEPT': 2}	distilled spirits as a reagent in arcane brews — the alchemist's cauldron accepts a spirit base to brew higher-potency e
2	False	alcohol_industry	alcohol_industry finished liquors (beer/vodka/whiskey/tequila) → aging/maturation step	create_cheese:maturing or vinery ferment time-step	economy	M-35	ACCEPT	{'ACCEPT': 2}	a batch of whiskey gains complexity sitting in a barrel — the aging specialist times production, the output has more val
2	False	alcohol_industry	alcohol_industry:beer / vodka / whiskey / tequila	create:filling → numismatics-adjacent (colony demand gate)	economy	M-28	ACCEPT	{'ACCEPT': 2}	MineColonies tavern/inn workers consume alcohol as an upkeep/happiness input — making bottled spirits a colony-demand go
2	False	alcohol_industry	alcohol_industry:whiskey / tequila (raw-distilled)	create_cheese:maturing	economy	M-35	ACCEPT	{'ACCEPT': 2}	Raw-distilled whiskey and tequila get a maturing step — a player who sits their spirits in the right conditions gets age
2	False	alcohol_industry	alcohol_industry:alcohol_base (fluid intermediate)	tfmg:distillation (TFMG's distillation column as a higher-yield refining step before Alcohol Boiler — Create's industrial fuel refinery as a parallel distillation method)	create	M-29	ACCEPT	{'ACCEPT': 1, 'REJECT': 1}	Route the Alcohol Base through TFMG's distillation column to get a purer spirit intermediate before the Alcohol Boiler —
