times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
1	False	blood_n_particles_datapack	blood particles (on-kill event)	loot-table seeding (loot=yes flagged in digest)	survival		REJECT	{'REJECT': 1}	loot=yes in the digest refers to the 184 particle-holder "item" entries (minecraft:blood1..blood15 etc.) which are inter
1	False	create	(all candidates)				REJECT	{'REJECT': 1}	per dossier guidance, Create is the method library — authoring edges that "consume Create itself" is not the weave direc
1	False	create	create as weave recipient	(hypothetical: any method consuming a Create output as a foreign input)	any		REJECT	{'REJECT': 1}	Create is not a weave target — it's the hub. Proposing edges that "weave Create into another system" inverts the design:
10	False	create_better_villagers	create_better_villagers villager trades	numismatics (coin denominated trades, or config/KubeJS trade price)	economy	M-08	ACCEPT	{'ACCEPT': 10}	the Brass Worker takes Sprockets; the Andesite Worker takes Cogwheels — emeralds are for vanilla villages, not a factory
3	True	create_better_villagers	emerald-denominated Create-parts trades	numismatics coin re-denomination	economy	M-08	ACCEPT	{'ACCEPT': 3}	the Brass/Copper/Andesite Workers already trade Create parts — re-denominate their prices to Numismatics coins so the pa
3	False	create_better_villagers	Create-parts trade (Andesite/Brass/Copper/Miner villagers) → re-denominated to Numismatics coins	KubeJS villager-trade modification	economy	M-08	ACCEPT	{'ACCEPT': 3}	the brass worker doesn't deal in emeralds — he deals in cogwheels; re-price his trades in Cogs and Spurs so buying Creat
3	False	create_better_villagers	Create-part villager trades	numismatics (price/denomination config)	economy	M-08	ACCEPT	{'ACCEPT': 3}	Brass Worker pays out Numismatics cogwheels, not emeralds — the player-run currency now flows through the very craftsmen
3	False	create_better_villagers	create_better_villagers villager trade (as MineColonies colony labor analog)	M-28 colony route — the CBV Miner villager buying raw materials and selling processed Create parts mirrors the colony's alternate-route dynamic	economy	M-28	REJECT	{'ACCEPT': 1, 'REJECT': 2}	the CBV Miner villager is a primitive "colony" for Create parts — a sanctioned non-craft alternate route that keeps part
2	False	create_better_villagers	create_better_villagers Miner profession	loot-seed	survival	M-16	REJECT	{'REJECT': 1, 'ACCEPT': 1}	the Miner villager buys/sells raw ore/metal — there is no seasonal-reagent angle here. M-16 is for crops/materials gated
2	False	create_better_villagers	create_better_villagers Miner profession (buys raw ore)	M-30 regional scarcity	economy	M-30	ACCEPT	{'ACCEPT': 2}	the Miner profession buys/sells raw regional metals; in a regional scarcity world, a Miner villager in a copper-rich reg
2	False	create_better_villagers	create_better_villagers Create-parts trades	M-37 research gate	economy	M-37	ACCEPT	{'ACCEPT': 2}	Create parts available only via Brass Worker (a trade) are not self-craftable without Create knowledge/progression; the 
1	False	create_better_villagers	Create parts (andesite/copper/brass tier) → MineColonies supply	M-05 native-method gating concept	create	M-05	REJECT	{'REJECT': 1}	create_better_villagers is already a *source* of Create parts; routing it as a gate input inverts its function. Architec
1	False	create_better_villagers	create_better_villagers profession unlock	KubeJS progression gate	create	M-05	REJECT	{'REJECT': 1}	the mod has no items/recipe types of its own to gate; progression gating on the profession appearance is a server-config
1	False	create_better_villagers	Brass Worker trade availability gated by Serene Season	KubeJS seasonal trade gate	survival	M-16	ACCEPT	{'ACCEPT': 1}	winter disrupts the brass supply chain — the Brass Worker's stock is thinner in cold months, driving players to produce 
1	False	create_better_villagers	MineColonies miner profession feeding this villager's raw-material sink	config / system design	create		REJECT	{'REJECT': 1}	no-motif — system-design note (two different worker types), not a method-routing recipe seam
1	False	create_better_villagers	create_better_villagers professions (workstations are Create blocks)	M-33 service-for-hire — a specialist who owns a settlement with CBV villagers effectively runs a Create-parts service; other players pay coin/barter for parts	economy	M-33	ACCEPT	{'ACCEPT': 1}	a player who sets up a CBV-stocked village becomes the regional Create-parts broker — a natural specialist role in the t
1	False	create_better_villagers	Miner villager buying raw andesite/copper/brass	colony route integration	economy	M-28	ACCEPT	{'ACCEPT': 1}	A MineColonies miner output feeding the Miner villager's buy-list creates a cross-route where the colony production arm 
1	True	create_better_villagers	villager profession workstations (Basin/RSC/Steam Engine)	gate the *unlock* of higher profession tiers behind Create progression rather than emerald grinding	create	M-05	REJECT	{'REJECT': 1}	speculative — mod is config/profession-driven, not recipe-driven; no clean method to route through, and it doesn't resol
1	False	create_better_villagers	create_better_villagers Miner villager (buys raw andesite/copper/brass)	M-29 cross-route — the miner's *buy list* creates a demand cross-route: a player who mines sells to the miner, who sells parts to a Create player	economy	M-29	REJECT	{'REJECT': 1}	M-29 is a recipe cross-dependency (mod A's recipe requires mod B's ingredient). The miner's buy/sell is an emergent play
