times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
26	True	aileron	aileron Elytra enchantments	ars_nouveau:enchanting_apparatus / reactive_enchantment (or Iron's)	magic	M-10	ACCEPT	{'REJECT': 13, 'ACCEPT': 16}	conditional and not authorable as stated — only possible IF aileron's enchants are datapack-exposed as applicable enchan
7	False	aileron	Elytra (vanilla item)	ars_nouveau:enchanting_apparatus	magic	M-10	REJECT	{'REJECT': 4, 'ACCEPT': 4}	Aileron's enchants are behavioral additions baked into the Elytra's enchantment table pool; whether the enchanting appar
4	False	aileron	aileron loot tables	loot-seed	economy	M-34	ACCEPT	{'ACCEPT': 4}	the loot-seed makes Elytra hunting (not just Elytra use) a combat-supply route — bosses/structures drop the upgrade book
2	False	aileron	(Elytra enchantments injected via loot tables)	ars_nouveau:enchanting_apparatus — applying Aileron's new Elytra enchants through the Enchanting Apparatus to pull them into the magic web	magic	M-10	REJECT	{'ACCEPT': 1, 'REJECT': 2}	mastering Elytra flight means visiting the Enchanting Apparatus — the arcane arts sharpen your wings as much as the forg
2	False	aileron	aileron Elytra overhaul (makes Elytra a balanced peer to aeronautics ships)	config-tie (tuning Elytra stamina/recharge to require Aeronautics-produced fuel/items for recharging)	create		REJECT	{'REJECT': 2}	no motif covers "requires fuel to recharge a vanilla item"; would require inventing a new mechanic not in aileron's desi
2	False	aileron	aileron Elytra enchantments as premium aeronautics components	loot-seed into aeronautics-relevant structure chests (End City / Deeper Darker)	aeronautics		REJECT	{'REJECT': 2}	no-motif — this would reinforce an existing anchor (aeronautics), not add a new one; and it's already aeronautics-anchor
2	False	aileron	aileron Elytra enchantments	create:deploying / item_application (apply an enchant-scroll to the Elytra via deployer)	create	M-20	REJECT	{'REJECT': 2}	M-20 is for woven parts assembled onto a base to upgrade it; an enchantment isn't a crafted physical part — it's an ench
2	False	aileron	Aileron elytra enchantments	create_enchantment_industry:grinding (grinding existing enchants to distill them)	create	M-29	REJECT	{'REJECT': 2}	grinding Aileron's enchants into experience via Create's enchantment industry doesn't create a forward dependency — it's
1	False	aileron	vanilla elytra (enchant surface)	ars_nouveau:enchanting_apparatus	magic	M-10	ACCEPT	{'ACCEPT': 1}	Ars Nouveau's Enchanting Apparatus applies Aileron's proprietary flight enchants (e.g. Boost, Glide, Stability) — magic 
1	False	aileron	vanilla elytra (loot injection)	loot-seed	aeronautics		REJECT	{'REJECT': 1}	aileron has loot=yes but injects into vanilla loot; seeding something INTO its tables would require a foreign item drop 
1	False	aileron					ACCEPT	{'ACCEPT': 2}	The best wing enchantments don't roll from common chests — they're found in end-tier ruins, pushing aeronauts to explore
1	False	aileron	aileron Elytra enchants (loot=yes, injected into loot tables)	loot-seed	magic	M-02	REJECT	{'REJECT': 1}	Aileron's enchantments are Elytra-specific behavior modifiers, not mob drops or reagents — routing enchantment books fro
1	False	aileron	aileron rebalanced Elytra (flight costs durability, uses consumables)	create:milling → repair material (if aileron adds repair mats via loot)	create	M-12	REJECT	{'REJECT': 1}	no item surface to route through Create; the mod is purely behavioral + enchant; M-12 requires a processable material
1	False	aileron	aileron Elytra rebalance (behavior mod)	no material weave	create	M-10	REJECT	{'REJECT': 1}	the behavioral rebalance has no item surface to route; a recipe-link to Create or survival would be forced ("build a win
1	False	aileron	Elytra	create:sequenced_assembly (applying Aileron enchant as a component)	create	M-20	REJECT	{'REJECT': 1}	Aileron registers no items; applying its enchants via deployer/item_application is only viable if its enchant books drop
1	False	aileron	Aileron flight rebalance (behavior-only)	none	survival		REJECT	{'REJECT': 1}	Aileron has no items, no loot, no recipe-type — it is a pure behavior/flight-physics overhaul. Any "second anchor" would
1	False	aileron	loot tables (loot=yes, Elytra-enchantment rewards)	loot-seed	magic	M-10	ACCEPT	{'ACCEPT': 1}	Seed Aileron's enchantment loot drops with Ars Nouveau source gems or Iron's arcane essence — the enchant-for-hire speci
1	False	aileron	enchanting-apparatus route for Aileron enchants				REJECT	{'REJECT': 1}	Aileron enchants are standard Minecraft enchantment IDs — they may not be configurable to require the Apparatus specific
1	False	aileron	Elytra as personal-flight peer to Aeronautics	behavior	aeronautics		n/a (anchor already aeronautics, no new weave needed)	{'n/a (anchor already aeronautics, no new weave needed)': 1}	
