times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
14	False	beachparty	beachparty:mini_fridge ice output	create:mixing (cooling chain) or create:compacting	create	M-12	REJECT	{'ACCEPT': 4, 'REJECT': 10}	the Mini Fridge produces bulk ice/packed ice with no power cost — that ice feeds Create's cold-mixing and chilling recip
9	False	beachparty	beachparty:coconut (open coconut / coconut meat)	create:milling	create	M-12	ACCEPT	{'REJECT': 1, 'ACCEPT': 8}	coconut as a milled intermediate is not wrong on its own, but the mod's palm_bar_mixing already handles coconut → cockta
6	False	beachparty	beachparty:mini_fridge_freezing ice output	Create cooling chain (upstream)	create	M-12	REJECT	{'REJECT': 3, 'ACCEPT': 3}	mini_fridge makes ice with no fuel cost, competing with Create's own cooling methods; the free-ice aspect undercuts rath
4	False	beachparty	beachparty coconut / tropical cocktails (coconut_cocktail, melon_cocktail, honey_cocktail, etc.)	farmersdelight:cooking or extradelight:vat	create	M-12	ACCEPT	{'ACCEPT': 3, 'REJECT': 3}	tropical cocktail ingredients (coconut, tropical fruit) run through the FarmersDelight/ExtraDelight cooking web — the be
4	False	beachparty	beachparty cocktail buffs → combat role (pre-fight buffs for faction warfare)	consumption before raids / emergent	survival	M-26	REJECT	{'REJECT': 2, 'ACCEPT': 2}	this is emergent player behavior, not a recipe weave — no Phase-3 authoring target.
3	False	beachparty	beachparty:coconut_open / tropical fruit (melon/cocoa) → extradelight:juicer or create:milling processing	extradelight:juicer	create	M-12	ACCEPT	{'ACCEPT': 3}	fresh coconut through an Extra Delight juicer yields coconut cream used in broader cooking chains — beach crops flow int
2	False	beachparty	beachparty:message_in_a_bottle (exploration item, found floating)	loot-seed — place a Numismatics coin or a magic scroll inside	economy	M-08	REJECT	{'REJECT': 2}	M-08 is "scarce regional metal → Create-processed → coin"; message in a bottle is a flavor item, not a metal-processing 
2	False	beachparty	beachparty:palm_planks (wood family)	create:cutting (sawmill)	create	M-04	REJECT	{'REJECT': 2}	every wood type can be cut in a Create sawmill — this is not a weave, it's a consequence of the existing generic wood-cu
2	False	beachparty	mini_fridge ice output (beachparty:mini_fridge_freezing)	mini_fridge → Create filling/mixing	create	M-32	REJECT	{'REJECT': 2}	the fridge makes packed ice as a byproduct/output; but Create's cooling recipes already have better ice sources (vanilla
2	False	beachparty	beachparty:coconut (tropical biome crop)	beachparty:palm_bar_mixing	economy	M-30	ACCEPT	{'ACCEPT': 2}	A plains or taiga player who wants cocktail buffs must source coconuts from someone near a beach — beachparty's biome re
2	False	beachparty	beachparty:coconut	farmersdelight:cooking or extradelight:mortar	survival	M-12	ACCEPT	{'ACCEPT': 2}	the beach-biome specialist's coconut harvest feeds the cook's tropical recipe chain — the coconut earns its place in the
2	False	beachparty	beachparty cocktails (coconut_cocktail, honey_cocktail, melon_cocktail, etc.) — luxury finished drinks	M-35 maturation	economy	M-35	ACCEPT	{'ACCEPT': 1, 'REJECT': 1}	Route the raw cocktail mix through a vinery:wine_fermentation or extradelight:vat aging step before it becomes the finis
1	False	beachparty	beachparty:cooked_mussel_meat / seafood items	farmersdelight:cooking or extradelight:*	create	M-12	ACCEPT	{'ACCEPT': 1}	mussel meat + palm-sourced coconut processed through Farmer's Delight cooking into a coastal feast dish — survival food 
1	False	beachparty	mini_fridge bulk-ice output	feed into create:mixing cold-process recipes as an ice input	create	M-12	REJECT	{'REJECT': 1}	The Mini Fridge is not a Create machine, and routing "ice from fridge → Create mixing" is just "ice → Create mixing", wh
1	False	beachparty	beachparty:mussel_meat / cooked_mussel_meat	farmersdelight:cooking → a seafood dish (chowder etc.)	survival	M-12	REJECT	{'REJECT': 1}	This is intra-survival (food → more food); doesn't add a second pillar. Worth noting as a food-web texture addition but 
1	False	beachparty	beachparty:palm_log / palm_planks	create:cutting	create	M-04	REJECT	{'REJECT': 1}	generic wood type — no distinct identity; roll into deco-family pass only if a wholesale palm-wood deco step is done
1	False	beachparty	beachparty:coconut (open coconut)	ars_nouveau:crush	magic	M-10	REJECT	{'REJECT': 1}	crushing a coconut in an arcane crusher to get a magic ingredient is tonally forced — coconuts are mundane food, not arc
1	False	beachparty	beachparty cocktails	farmersdelight:cooking or extradelight:vat	survival	M-12	REJECT	{'REJECT': 1}	cocktails are already produced at the Palm Bar (beachparty:palm_bar_mixing); routing them through an additional FD/Extra
1	False	beachparty	beachparty cocktails → irons_spellbooks:alchemist_cauldron_fill as exotic fluid input	irons_spellbooks:alchemist_cauldron_fill	magic	M-12	REJECT	{'REJECT': 1}	cocktails are low-tier food items (simple status buffs); using them as a magic brew ingredient is a stretch in both powe
1	True	beachparty	beachparty:mini_fridge ice output (no-power ice source)	create:filling/cooling feedstock — bulk ice into other mods' cold/freezing recipes	create	M-32	REJECT	{'REJECT': 1}	ice is trivially vanilla-available; routing it as feedstock creates no scarcity or demand, just an alt source — no motif
1	True	beachparty	beachparty:open_coconut + fruit → palm_bar_mixing cocktails (buff drinks)	M-26 consumption (buff drinks spent against survival pressure as ongoing demand)	survival	M-26	ACCEPT	{'ACCEPT': 1}	cocktails give timed buffs you drink and re-make — a small renewing demand on the food/drink loop, same anchor reinforce
1	False	beachparty	cocktails (cocoa_cocktail / honey_cocktail / melon_cocktail)	beachparty:palm_bar_mixing	economy	M-26	ACCEPT	{'ACCEPT': 1}	cocktails grant temporary status buffs (haste/strength) that players consume during construction or combat, creating con
1	False	beachparty	beachparty loot tables (structure loot=yes)	loot-seed	economy	M-08	REJECT	{'REJECT': 1}	beachparty has biome-modifiers (3) and loot=yes, but the loot is likely beach furniture/food items — seeding coin here i
1	False	beachparty	beachparty:coconut_open (cocktail ingredient)	beachparty:palm_bar_mixing	survival	M-12	REJECT	{'REJECT': 1}	palm_bar_mixing is beachparty's own method producing only beachparty cocktails — routing it here doesn't bridge to a sec
1	False	beachparty	beachparty cocktail buffs (Haste/Speed)	M-26 consumption (drinks are spent each use)	economy	M-26	ACCEPT	{'ACCEPT': 1}	cocktails are consumable buffs replenished continuously — demand never zeroes out; a miner or builder buys them from a b
1	False	beachparty	`beachparty:palm_bar_mixing` (cocktail method)	`beachparty:palm_bar_mixing`	economy	M-26	ACCEPT	{'ACCEPT': 1}	cocktails grant stat buffs that are consumed on use — a consumption sink that never zeroes demand; a beachside bar opera
1	False	beachparty	`beachparty:coconut` palm wood	`create:cutting`	create	M-04	REJECT	{'REJECT': 1}	palm_planks/logs are a generic wood species; Create cutting of planks is available for every wood type — this does not *
1	True	beachparty	open coconut / fruit	farmersdelight:cooking or palm_bar_mixing into diet-relevant foods	survival	M-26	ACCEPT	{'ACCEPT': 1}	coconuts and cocktails feed the diet-variety/hydration pressure (Fruits/Sugars groups) — consumed demand.
1	True	beachparty	mini_fridge ice	create cooling/freezing chains as bulk ice feedstock	create	M-32	REJECT	{'REJECT': 1}	ice is trivially vanilla-obtainable; routing it as a "byproduct→input" feedstock is not a meaningful scarcity/demand edg
1	True	beachparty	palm wood + furniture	any	any		REJECT	{'REJECT': 1}	decoration palette; forcing a Create recipe-weave on beach deco is an arbitrary edge per guardrails. Decoration support 
1	False	beachparty	beachparty:coconut_cocktail (and other cocktails)	beachparty:palm_bar_mixing → Numismatics trade context	economy	M-26	ACCEPT	{'ACCEPT': 1}	cocktails grant status buffs and are consumed on use — a continuous consumption sink. A coastal bar specialist mixes coc
1	False	beachparty	beachparty:palm_planks (wood variant)	create:cutting	create	M-12	ACCEPT	{'ACCEPT': 1}	palm wood is a distinct wood type; adding a Create saw recipe for palm planks/slabs/stairs means the builder can automat
1	False	beachparty	mini_fridge as ice source → Create cooling			M-12	ACCEPT	{'ACCEPT': 1}	
1	False	beachparty	coconut / open_coconut	create:milling or extradelight:juicer	create	M-12	ACCEPT	{'ACCEPT': 1}	a tropical coconut is a natural feedstock for Create milling (coconut flakes) or the ExtraDelight juicer (coconut milk/c
1	False	beachparty	palm wood	create:cutting	create	M-04	ACCEPT	{'ACCEPT': 1}	palm planks / logs through the Create saw for strips/planks is a standard lumber-spine tie; connects a new wood type to 
1	False	beachparty	cocktails (luxury drink)	emergent trade	economy	M-33	REJECT	{'REJECT': 1}	a bare "cocktails are sellable" link is M-09 ambient endpoint logic, not a demand-gating economy link; the economy conne
1	False	beachparty	beachparty structure loot (loot=yes — beach structures)	loot-seed	economy	M-34	REJECT	{'REJECT': 1}	tone-clash — beach structures are low-danger decorative buildings; seeding them with combat-tier drops or high-value eco
1	False	beachparty	beachparty cocktails (coconut_cocktail, honey_cocktail, melon_cocktail, etc.)	beachparty:palm_bar_mixing as an economy service	economy	M-33	ACCEPT	{'ACCEPT': 1}	the Palm Bar is a player-operated crafting station; a specialist who builds and stocks a Palm Bar on an Aeronautics ship
1	False	beachparty	beachparty cocktail buffs	Serene Seasons summer window	survival	M-16	ACCEPT	{'ACCEPT': 1}	a summer-only cocktail (melon cocktail — melon being a summer-harvested crop via Serene Seasons) is only craftable in su
1	False	beachparty	beachparty:beach_hat / bikini (cosmetic wearable)	supplementaries:flag_from_banner or simplehats:custom_hatvariants	economy	M-33	REJECT	{'REJECT': 1}	wearable fashion-for-hire as a service-economy idea is too thin; the items aren't craftable through any demand-gating me
1	False	beachparty	beachparty cocktails (coconut_cocktail / honey_cocktail / melon_cocktail — finished buff drinks, liquid form)	create:filling (fill Create casks/barrels for bulk distribution)	economy	M-31	ACCEPT	{'ACCEPT': 1}	casks of cocktail bulk-filled on a contraption ride the cardboard-plane courier to inland buyers — the beach bar's outpu
1	False	beachparty	beachparty:coconut_open (raw tropical fruit, harvested from beach biome palms)	vinery:apple_fermenting or alcohol_industry:alcohol_boiling (ferment coconut water / tropical juice into a fermented base before palm_bar_mixing premium recipes)	economy	M-35	ACCEPT	{'ACCEPT': 1}	a premium tier of cocktail requires a fermented tropical base the plain coconut doesn't provide — beach specialist needs
21	False	bits_n_bobs	bits_n_bobs tile/chair deco blocks	create:crushing → crushed stone + xp nugget byproduct	create	M-04	ACCEPT	{'ACCEPT': 21}	a tile floor torn out goes back into the crusher — deco and industry stay one loop
12	False	bits_n_bobs	bits_n_bobs:chain_pulley	recipe	aeronautics	M-24	ACCEPT	{'ACCEPT': 7, 'REJECT': 5}	Aeronautics rigging and winch assemblies naturally call for a chain-pulley component — the chain-drive mechanism is exac
5	False	bits_n_bobs	bits_n_bobs:brass_lamp	create:item_application	create	M-20	REJECT	{'REJECT': 5}	lamp is already crafted; a deploy-application upgrade on top would need a clear upgrade output — nothing distinct to app
4	True	bits_n_bobs	bits_n_bobs:*_tiles (andesite/asurine/crimsite/etc.)	create:crushing	create	M-04	ACCEPT	{'ACCEPT': 4}	demolishing mismatched machine-room tiles crushes them back to crushed stone and a thin XP gain — nothing is wasted in a
2	False	bits_n_bobs	bits_n_bobs:andesite_tiles / calcite_tiles / deepslate_tiles / crimsite_tiles (and other stone-tile lines)	create:crushing	create	M-04	ACCEPT	{'ACCEPT': 2}	Tearing down a bits_n_bobs tiled wall and routing the blocks through a crusher returns crushed-stone/gravel + an experie
2	True	bits_n_bobs	bits_n_bobs:*_nixie_board (large display boards)	no existing method (would need a config/placement rule, not a recipe)	economy		REJECT	{'REJECT': 2}	No motif covers "display block serves as trade-floor signage." Thematically coherent (a market uses nixie price boards) 
2	False	bits_n_bobs	bits_n_bobs nixie boards / large displays	recipe (crafting)	economy	M-33	REJECT	{'REJECT': 2}	M-33 is "service-for-hire (labour)" — nixie boards are display blocks, not a labour service. Pairing them to the economy
1	False	bits_n_bobs	bits_n_bobs:nixie_board / large_nixie_tube	aeronautics ship display	aeronautics		REJECT	{'REJECT': 1}	Nixie boards as ship instruments are a decoration/build choice, not a systemic weave. No motif covers "deco block used i
1	False	bits_n_bobs	bits_n_bobs:nixie_board (large signal display)	create:item_application	economy	M-20	REJECT	{'REJECT': 1}	nixie boards are signal displays, not economic goods or aeronautics components; routing them through economy via deploy/
1	False	bits_n_bobs	bits_n_bobs nixie boards as a display surface	bare "it's decorative"			REJECT	{'REJECT': 1}	display blocks without a recipe method or demand hook aren't a weave; decorative anchor is already covered
1	False	bits_n_bobs	tile/chair deco blocks (andesite_tiles, chair_*, calcite_tiles, etc.)	create:crushing	create	M-04	ACCEPT	{'ACCEPT': 1}	over-produced Create-stone deco gets fed back into the crusher — the deco palette is a lossily recyclable stock, not a d
1	False	bits_n_bobs	nixie_board / large_nixie_tube	create:sequenced_assembly (display-gated control panel)	create	M-06	ACCEPT	{'ACCEPT': 1}	an elaborate Aeronautics control panel needs a large nixie board in its sequenced assembly — a display part earns a plac
1	False	bits_n_bobs	bits_n_bobs:brass_lamp / chair variants	create:crushing	create	M-04	REJECT	{'REJECT': 1}	Chairs contain wood; a lossy wood crush to planks/gravel is coherent but trivial — players won't crush chairs in practic
1	True	bits_n_bobs	bits_n_bobs chain drives / kinetic parts	create:item_application or deploying	aeronautics	M-24	REJECT	{'REJECT': 1}	tempting (kinetic transmission → drivetrain) but M-24 wants a *mechanical drivetrain component* (rotor/bearing/engine bl
1	False	bits_n_bobs	bits_n_bobs:nixie_board / bits_n_bobs:large_nixie_tube (display blocks)	economy as market/scoreboard signage	economy	M-33	ACCEPT	{'ACCEPT': 1}	"the nixie board above the trade window shows the current coin price — the market reads at a glance"
1	False	bits_n_bobs	bits_n_bobs:brass_lamp / nixie_board (display blocks)	create:mechanical_crafting + bits_n_bobs kinetic output	economy	M-33	REJECT	{'REJECT': 1}	nixie boards as a service-for-hire (an "information economy" signal display for trade boards or colony signage) is thema
