times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
20	False	betterdungeons	betterdungeons loot tables	loot-table seeding of Ars/Occultism magic reagents	magic	M-02	ACCEPT	{'REJECT': 1, 'ACCEPT': 19}	The accepted coin-seeding row already supplies a coherent 2nd pillar (economy). A second loot-seed weave via magic would
13	True	betterdungeons	dungeon chest loot	loot-table seeding of magic reagents (Ars source_gem-adjacent inputs / Occultism / boss reagents)	magic	M-02	ACCEPT	{'REJECT': 1, 'ACCEPT': 12}	no method to route a material through — betterdungeons has no item and no recipe-type; gating magic progression behind d
12	False	betterdungeons	betterdungeons loot tables (datapack-overridable)	numismatics coin seeding	economy	M-08	ACCEPT	{'ACCEPT': 10, 'REJECT': 2}	seeding Numismatics coins (cog/spur) into Catacombs and Spider Cave chests makes dungeon-crawling a direct economy activ
9	False	betterdungeons	betterdungeons loot tables	loot seeding → boss-key drop for complex Create recipe (M-15)	create	M-15	ACCEPT	{'REJECT': 4, 'ACCEPT': 5}	M-15 requires a *boss drop* as a gate item for complex Create/tech recipes; betterdungeons has no boss — it has spawner 
8	True	betterdungeons	dungeon chest loot	loot-table seeding of numismatics coin / sellable rarities, OR using the dungeons as Bountiful kill-objective targets	economy	M-08	REJECT	{'REJECT': 5, 'ACCEPT': 3}	same — loot-table seeding is not a recipe routing. Note the stronger play: point Bountiful Decrees at the dungeons' spaw
5	False	betterdungeons	betterdungeons Spider Cave loot tables	loot-seed	economy	M-34	ACCEPT	{'ACCEPT': 5, 'REJECT': 1}	seed a rare silk component or arachnid reagent (combat-route exclusive) into Spider Cave chests — a combat specialist fa
4	True	betterdungeons	dungeon boss spawner / chest loot tables	loot-seed	create	M-15	ACCEPT	{'ACCEPT': 3, 'REJECT': 1}	seed a unique boss-key component (e.g. rottencreatures:treasure_chest drop or a custom rune) into the deepest Catacomb/U
4	True	betterdungeons	dungeon danger output (farmed loot)	emergent trade to non-combat players	economy	M-34	ACCEPT	{'ACCEPT': 4}	a combat specialist farms dungeon rarities and trades them to builders — the supplier side of the danger route.
1	False	betterdungeons	betterdungeons (no items)	any recipe method	any		REJECT	{'REJECT': 1}	no-motif — has zero items or machines; any recipe edge would have to be authored entirely in another mod's namespace; th
1	False	betterdungeons	Spider Cave loot (silk, venom drops)	ars_nouveau:imbuement	magic	M-10	REJECT	{'REJECT': 1}	Spider Cave adds no new items — it uses vanilla spider loot; any imbuement weave on spider drops belongs to the vanilla 
1	False	betterdungeons	dungeon spawners (mob drops)	`occultism:spirit_fire` / `occultism:ritual` transmutation of drops	magic	M-11	ACCEPT	{'ACCEPT': 1}	rotten flesh and bones from dungeon spawners feed Occultism rituals — dungeon-crawling is a legitimate magic-supply run,
1	False	betterdungeons		loot-table seeding of occultism/Ars reagents (e.g. drop occultism:silver_ore fragment or ars_nouveau:wilden_spike as rare chest reward)	magic	M-02	ACCEPT	{'ACCEPT': 1}	spider cave feels arcane — finding a rare magical component in the deep dark web makes thematic sense and seeds the magi
1	False	betterdungeons	Spider Cave chest loot	loot-seed	magic	M-02	ACCEPT	{'ACCEPT': 1}	spider venom / silk quantities from caves are a natural apothecary / alchemy input; seeding a magic poison-reagent or al
1	False	betterdungeons	boss/rare dungeon loot	loot-seed	create	M-15	ACCEPT	{'ACCEPT': 1}	a unique key-item seeded into the deepest Undead Fortress chest as a rare drop gates a complex Create recipe — explorati
1	False	betterdungeons	betterdungeons loot tables	loot-seed (datapack)	economy	M-15	REJECT	{'REJECT': 1}	M-15 is boss-drop as gating key, not dungeon-chest loot; the loot tables here are generic chests without a boss guardian
1	False	betterdungeons	YUNG's Better Dungeons loot tables (Catacombs / Undead Fortress / Spider Cave)	loot-seed	magic	M-02	ACCEPT	{'ACCEPT': 1}	clearing the Catacombs yields spirit reagents the magic specialist can't easily farm otherwise — the dungeon earns its d
