times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
16	True	bakery	bakery wheat → flour path	create:milling	create	M-12	ACCEPT	{'ACCEPT': 16, 'REJECT': 1}	The Millstone grinds grain into flour before it ever reaches the oven — the bake chain runs through the tech spine from 
14	True	bakery	wheat (crop input)	create:milling — mill wheat to flour as an alternative/preferred supply path into the bakery pipeline	create	M-12	ACCEPT	{'ACCEPT': 14}	the Create mill grinds the grain; bakery ovens finish the bread — the food chain runs through the tech spine at the flou
9	False	bakery	bakery finished goods (cakes / tarts / cupcakes)	MineColonies cook-hut delivery demand	economy	M-28	ACCEPT	{'ACCEPT': 9, 'REJECT': 1}	colony cook hut requests a weekly cake order, creating repeating demand a bakery specialist fills
6	False	bakery	bakery baked goods (surplus production)	ars_nouveau:imbuement (Vitalic sourcelink)	magic	M-10	REJECT	{'REJECT': 6}	Infusing bread into arcane source doesn't survive theme-fit — the Vitalic sourcelink passively consumes food near it, wh
6	True	bakery	bakery surplus crops/baked goods	ars_nouveau agronomic/vitalic sourcelink (passive Source)	magic	M-02	REJECT	{'REJECT': 6}	weak + better owned by the farm mods; a baker feeding a magic battery is a thin thread and the dossier itself flags it a
5	False	bakery	bakery:apple_jam / bakery:chocolate_jam (high-effort condiments)	ars_nouveau:imbuement as alchemical solvent	magic	M-10	REJECT	{'REJECT': 5}	jam as a magic catalyst is a tone clash — baked condiments are wholesome food, not arcane reagents; forcing them into Ar
3	True	bakery	surplus baked goods	Ars agronomic/vitalic sourcelink	magic	M-02	REJECT	{'REJECT': 3}	baked-goods-as-Source is thin and better owned by raw-crop farm mods; weak and off-theme
3	False	bakery	bakery:bread / baguette (wheat-based)	create:milling (wheat → flour as alt route)	create	M-12	ACCEPT	{'ACCEPT': 3}	milling wheat through a Create millstone instead of the crafting_bowl is a coherent industrial-vs-artisanal split — the 
3	False	bakery	bakery baked goods (cakes, cupcakes, speed+strength buffs)	minecolonies food-supply chain	survival	M-16	REJECT	{'REJECT': 2, 'ACCEPT': 2}	M-16 is specifically seasonal reagent (Serene Seasons gating), not generic food supply; supplying colony workers with fo
3	False	bakery	bakery cakes/tarts (high-effort finished goods)	emergent consumption sink	economy	M-26	ACCEPT	{'ACCEPT': 3}	baked goods are consumed (eaten), so demand never zeroes — a baker's products are a repeating consumption sink that keep
2	False	bakery	bakery:baguette / braided_bread / bread (wheat-based finished goods)	create:milling — wheat → flour as a Create-processed intermediate required by the baking chain	create	M-12	ACCEPT	{'ACCEPT': 2}	milling wheat in Create's millstone produces the flour that feeds the bakery dough chain — a light single-step tie that 
2	False	bakery	bakery surplus crops (strawberries, apples, berries)	vinery:apple_mashing / alcohol_industry:alcohol_boiling	economy	M-35	ACCEPT	{'ACCEPT': 2}	bakery fruit outputs can feed fermentation (jam → wine/brandy via vinery/alcohol_industry), adding a maturation / aging 
2	False	bakery	bakery:bread / baguette (grain-group food)	config tie	survival	M-16	REJECT	{'REJECT': 2}	bread is a year-round staple, not a seasonal food — there is no coherent seasonal gating of wheat-based products in the 
2	False	bakery	bakery luxury goods (tarts, gateaux — high-effort edibles tied to diet system)	diet-system demand	survival	M-26	ACCEPT	{'ACCEPT': 1, 'REJECT': 1}	Bakery's specialty sweets fill the Sugars diet group (Diet AppleSeed Edition); the 10× buff-stack incentive means player
1	False	bakery	bakery:blank_cake	bakery:blank_cake_interaction	—		REJECT	{'REJECT': 1}	blank_cake_interaction is internal deco flavor (right-click to decorate); it is not a connective method to another pilla
1	False	bakery	crops/fruit surplus	ars_nouveau:imbuement (Vitalic sourcelink passive)	magic	M-02	REJECT	{'REJECT': 1}	no coherent per-item route; passive source generation belongs to farm mods that own the crop layer, not a baked-goods mo
1	False	bakery		extradelight:vat or extradelight:mixing_bowl (ferment jam → a flavored alcohol base or a concentrated sauce intermediate)	economy	M-12	ACCEPT	{'ACCEPT': 1}	a bakery jam fermented in the extradelight vat feeds the alcohol/wine chain — the jam is a *useful intermediate*, not ju
1	False	bakery	bakery:apple_jam / chocolate_jam (high-sugar processed goods)	vinery:apple_fermentation (jam → fermented fruit base)	create	M-12	REJECT	{'REJECT': 1}	jam→wine ferment is thematically plausible but convoluted; bakery goods are already economy-sellable and the chain adds 
1	False	bakery	bakery:blank_cake (blank_cake_interaction, in-world decoration)	ars_nouveau:prestidigitation	magic		REJECT	{'REJECT': 1}	no-motif — using Ars prestidigitation to "magically frost a cake" has no supported motif and is a whimsical stretch; the
1	False	bakery	bakery:baguette / bakery:bread (food output)	ars_nouveau:imbuement or occultism:ritual	magic	M-10	REJECT	{'REJECT': 1}	infusing bread into a magic reagent has no thematic grounding in Ars Nouveau or Occultism lore — magic mods don't use ba
1	False	bakery	bakery:blank_cake_interaction (in-world right-click decoration)	create:deploying	create	M-20	ACCEPT	{'ACCEPT': 1}	re-route the blank_cake decoration step through a Create deployer rather than hand-click — the deployer applies the topp
1	False	bakery	bakery surplus output (baked goods, breads)	minecolonies:blockhutcook demand (colony food supply)	survival	M-12	REJECT	{'REJECT': 1}	same rejection as meadow's colony-demand edge: colony food pull is a config/request-system slot, not a method-routing we
1	False	bakery	baked goods as Ars/Occultism source/reagent	ars_nouveau:imbuement	magic	M-10	REJECT	{'REJECT': 1}	"a cupcake is an arcane catalyst" is tonally absurd — the bakery's vibe is rustic-agrarian, not arcane; no coherent lore
1	False	bakery	bakery:apple_jam / chocolate_jam / fruit preserves	ars_nouveau:imbuement as seasonal catalyst	magic	M-16	REJECT	{'REJECT': 1}	Jams-as-arcane-catalyst is a stretch — fruit preserves are food, not magical reagents. M-16 is stronger when the seasona
