times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
1	False	almostunified	almostunified priority list	config — adds/removes material unifications	create		REJECT	{'REJECT': 1}	almostunified operates ON the recipe graph, it doesn't add a system anchor. There is no motif for "the unifier itself ga
21	False	charta	charta bar furniture (bar shelves, stools, card tables, wine glasses)	create:cutting (wood panels → shaped bar furniture)	create	M-04	REJECT	{'ACCEPT': 7, 'REJECT': 14}	the sawmill-cut boards and glass-pressed goblets coming off a Create line to furnish the tavern is a coherent craft prog
5	False	charta	charta gambling / card matches + numismatics coins	no method (behavior wiring, not item-routing)	economy		REJECT	{'REJECT': 5}	no-motif — Charta has no betting hook; wiring a wager system would require a new game-mechanic edge that isn't in the pa
5	False	charta	charta:card_table (tavern furniture)	create:cutting (sawmill step)	create	M-04	ACCEPT	{'ACCEPT': 4, 'REJECT': 1}	card tables and bar stools are crafted from Create-cut hardwood components — the tavern furniture set requires the sawmi
5	False	charta	charta filled wine/beer glasses	beachparty:palm_bar_mixing or vinery:wine_fermentation as fill source	survival	M-12	ACCEPT	{'REJECT': 2, 'ACCEPT': 3}	charta's glasses are decorative drink containers, not consumed foods — feeding them through a brewing method is a round-
5	False	charta	charta card tables (social/gambling venue)	numismatics wagering mechanic	economy	M-08	ACCEPT	{'REJECT': 2, 'ACCEPT': 3}	Charta has no built-in betting hook; wiring a coin-wagering mechanic would require bespoke KubeJS event scripting with n
5	False	charta	charta:card_table / dealer_table	M-33 service-for-hire — a player hosts a card table and charges Numismatics coin for seats or takes a house cut in coin; the table is the labor/service venue, payment is emergent between players	economy	M-33	ACCEPT	{'ACCEPT': 4, 'REJECT': 1}	a tavern-keeper who sets up a card table and charges entry coin is exactly a player-run service economy node — no NPC fa
5	False	charta	charta card_table / dealer_table (generates in villages/dungeons, loot=yes)	loot-seed	economy	M-33	ACCEPT	{'REJECT': 2, 'ACCEPT': 3}	M-33 is a service-for-hire (labor) motif; card gambling as a coin sink is a *different* concept and Charta has no built-
4	False	charta	charta:empty_wine_glass	vinery / alcohol_industry fill (liquid_burning or bottle_fluid)	create	M-12	ACCEPT	{'ACCEPT': 4}	pouring vinery wine into charta's empty glass at a bar shelf completes the tavern loop and ties Charta into the alcohol/
4	False	charta	charta:empty_wine_glass / empty_beer_glass (glassware)	create:pressing or create:item_application	create	M-04	REJECT	{'REJECT': 3, 'ACCEPT': 1}	pressing/item_application on plain glassware has no thematic sense — glass + Create pressing outputs sand or nothing; fo
3	False	charta	charta:empty_wine_glass / empty_beer_glass	recipe (M-12 processing-chain pull — fill wine glass with Vinery wine or Farm & Charm fermented drink via create:filling or extradelight:bottle_fluid, making Charta glasses the serve-ware for the pack's drink mods)	survival	M-12	ACCEPT	{'ACCEPT': 3}	the wine glass isn't decoration once it's filled; the brewery and the bar are the same supply chain
2	True	charta	bar furniture (card tables, stools, bar shelves, wine/beer glasses)	create:cutting (mechanical saw)	create	M-04	ACCEPT	{'ACCEPT': 1, 'REJECT': 1}	a tavern's wooden furniture gets cut on a mechanical saw — mass-producing the hospitality set ties this social space dir
2	False	charta	charta empty_wine_glass / empty_beer_glass	alcohol_industry:alcohol_boiling → fill glasses in Create	create	M-12	ACCEPT	{'ACCEPT': 2}	the Create filler pours the alcohol industry's fresh-brewed beer into charta's bar glasses — the tavern supply line runs
2	False	charta	charta:card_table (gambling mechanic)	KubeJS event hook + numismatics coin	economy	M-26	ACCEPT	{'ACCEPT': 1, 'REJECT': 1}	card games at a charta table become a venue for player-economy currency circulation — an entertainment consumption sink 
1	False	charta	charta:oak_bar_stool, charta:oak_bar_shelf (wood deco)	create:cutting or create:crushing	create	M-04	ACCEPT	{'ACCEPT': 1}	tavern furniture breaks down into planks + sawdust like any worked wood — the Create mill recycles deco
1	False	charta	charta:card_table (multiplayer game table) + Numismatics coins	KubeJS event hook (wager = burn coin on game-start, winner receives)	economy	M-08	ACCEPT	{'ACCEPT': 1}	ante a Numismatics coin to play — the card table is the only place in the pack where players bet real in-game currency a
1	False	charta	charta bar furniture (wine/beer glasses, stools)	create:mechanical_crafting → glass/copper components	create	M-05	REJECT	{'REJECT': 1}	M-05 is "a mod's flagship item is built in its own machine, gated on Create parts as inputs." Charta's flagship is the c
1	False	charta	charta:empty_beer_glass / empty_wine_glass	supplementaries / vinery fill → drinking as M-26 consumption sink	survival	M-26	ACCEPT	{'ACCEPT': 1}	Filled drinks in charta glasses are consumed against the diet/thirst pressure loop — the glass is emptied and returned (
1	False	charta	charta card_table / bar furniture	loot-seed	economy	M-34	REJECT	{'REJECT': 1}	charta generates in villages/dungeons (loot=yes), but the furniture is decorative, not a valuable supply-chain input. Se
