times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
7	False	appleseed	appleseed diet-variety demand signal (continuous balanced-diet pressure)	config/demand driver	create	M-12	ACCEPT	{'ACCEPT': 5, 'REJECT': 3}	Diet variety creates ongoing demand for diverse processed foods — Farmer's Delight crops run through Create milling/mixi
6	False	appleseed	appleseed diet buff	design note (magic buff foods → extra nutrient group tags)	magic		REJECT	{'REJECT': 6}	adding magic-derived nutrition groups would need a new mechanic AppleSeed doesn't natively support (no per-item-tag over
5	False	appleseed	appleseed diet-variety demand signal	config/tuning (demand driver, not a recipe)	create	M-26	ACCEPT	{'ACCEPT': 5}	balanced-diet buffs require diverse food groups, creating permanent recurring demand for varied crops and cooked meals —
3	False	appleseed	appleseed individual nutrient groups (Protein/Vegetables/Grains/Fruits/Sugars)	ars_nouveau:imbuement	magic	M-10	REJECT	{'REJECT': 3}	Nutrition groups are an abstract HUD mechanic, not items — there is no craftable "nutrition token" to route through imbu
3	False	appleseed	diet-variety demand	config tuning (production-by-demand signal)	create	M-12	ACCEPT	{'ACCEPT': 3}	the diet system creates standing demand for diverse foods — cooking specialists (FD / Farm & Charm / Vinery) supply the 
3	False	appleseed	appleseed diet-variety demand signal	emergent trade	economy	M-26	REJECT	{'REJECT': 2, 'ACCEPT': 1}	while food trade is a natural downstream consequence, the economy link is the *ambient* endpoint ("everyone needs food")
3	True	appleseed	diet-variety demand signal	config/tuning (no new recipe — the mechanic auto-reads the full food graph)	create	M-26	ACCEPT	{'ACCEPT': 3}	a player who only eats bread starves on buffs; cooking up a diverse plate of FD/ExtraDelight/Bakery dishes is the litera
2	False	appleseed	appleseed diet-variety demand signal	numismatics vendor	economy	M-29	ACCEPT	{'ACCEPT': 1, 'REJECT': 1}	because a balanced diet requires multiple food groups, a cook/farmer specialist selling high-nutrition multi-group dishe
2	False	appleseed	appleseed high-nutrition multi-group foods as a scarce regional specialty	M-30 regional-scarcity gate	economy	M-30	REJECT	{'REJECT': 1, 'ACCEPT': 1}	AppleSeed itself doesn't create regional scarcity; it creates demand. The scarcity is in the food crops, not the diet mo
1	False	appleseed	appleseed nutrition demand	ars_nouveau:potion_flask or seasonal ingredient	magic	M-16	REJECT	{'REJECT': 1}	tone clash + undermines the diet mechanic's design intent (diet variety demands real cooking, not a magic shortcut); no 
1	True	appleseed	diet variety (DEMAND signal, 5 nutrient groups)	config/tuning that makes multi-group cooked dishes the way to keep buffs	create	M-12	ACCEPT	{'ACCEPT': 1}	a balanced diet means you actually have to cook across food mods — pressure (diet) pulls production (the cooking/farming
1	False	appleseed	balanced-diet buff demand	config/tuning (Serene Seasons crops gate seasonal nutrients)	create	M-16	ACCEPT	{'ACCEPT': 1}	a winter-only crop (seasonal) provides a nutrient group only available that season — diet pressure drives players to sto
1	False	appleseed	appleseed diet-variety demand signal	config/demand (no recipe)	survival	M-16	REJECT	{'REJECT': 1}	M-16 is specifically a seasonal-gating motif (season-locked material → method); appleseed is a standing demand signal, n
1	False	appleseed	appleseed balanced-diet buffs as a multi-group food demand driver	no-motif	economy		REJECT	{'REJECT': 1}	no-motif — the "balanced diet makes diverse food valuable → specialist cook sells to others" logic is real and matches t
1	False	appleseed	appleseed diet-demand signal	config/tuning (diet drives food diversity demand → pulls farming/cooking production)	create	M-16	ACCEPT	{'ACCEPT': 1}	Balanced diet buffs create ongoing, varied crop demand — Serene Seasons seasonal crops become worth growing because each
1	False	appleseed	appleseed (mechanic only)	magic			REJECT	{'REJECT': 1}	no coherent magic tie — food ≠ magic reagents in this pack's model; no-motif → reject
1	False	appleseed	magic catalyst need	(forced)	magic		REJECT	{'REJECT': 1}	no natural food→magic method routing; don't force
1	False	appleseed	appleseed balanced-diet buff	minecolonies colony food requests	economy	M-28	ACCEPT	{'ACCEPT': 1}	a colony requesting diverse food types (Grains + Protein + Vegetables) for worker happiness is the demand-gate; the diet
1	False	appleseed	balanced diet buffs → trade specialty	player trade (emergent, no recipe)	economy	M-29	REJECT	{'REJECT': 1}	"a cook can sell high-nutrition dishes" is the ambient endpoint of the loop (M-09 retired). There is no demand-gating me
1	False	appleseed	diet variety demand (mechanic — auto-derives nutrition from all modlist foods)	config/mechanic (no recipe; this is the demand-side signal)	create	M-26	ACCEPT	{'ACCEPT': 1}	balanced diet requires covering all five groups (Grains, Veg, Protein, Fruits, Sugars) — that pull is a standing consump
1	False	appleseed	diet variety demand	mechanic → emergent trade	economy	M-33	ACCEPT	{'ACCEPT': 1}	a cook specialist who covers multiple nutrient groups becomes a natural service provider — other players buy diversified
1	False	appleseed	player diet state (balanced buffs from appleseed)	config/MineColonies colony production efficiency	economy	M-28	REJECT	{'REJECT': 1}	MineColonies worker efficiency is driven by the in-colony food supply, not the player's personal diet state. The diet bu
1	False	appleseed	diet-balance mechanic (balanced-diet buff demand)	config/tuning (no recipe)	create	M-16	REJECT	{'REJECT': 1}	M-16 is seasonal reagent — a material gated by Serene Seasons feeding a machine/ritual. Appleseed is a mechanic mod that
1	False	appleseed	diet-balance as ongoing scarcity-renewing demand	config/gameplay (no recipe; the mechanic itself; diet groups are the consumption mechanism)	economy	M-26	ACCEPT	{'ACCEPT': 1}	Food is consumed against diet pressure — M-26 (consumption sink): the balanced-diet buff withers when neglected, so play
1	False	appleseed	seasonal crop scarcity (Serene Seasons + diet groups)	config-tie (Serene Seasons crop-fertility config list determines which diet groups are stressed per season — no recipe, a configuration/design weave)	survival	M-16	ACCEPT	{'ACCEPT': 1}	Out-of-season crops push specific diet groups into scarcity — if summer crops are your primary Vegetable source and it's
1	False	appleseed	diet-variety demand for diverse foods	config/native mechanic	economy	M-26	REJECT	{'REJECT': 1}	the diet mechanic is a survival-pressure signal, not itself an economy weave — food trade is the ambient endpoint of the
1	False	appleseed	Diet – AppleSeed five-group nutrition mechanic	M-26 consumption sink — food is continuously spent against the diet-balance pressure; demand for diverse crops/meats/cooked dishes never zeroes out, pulling on farming+cooking production specialists and making food a real traded good	economy	M-26	ACCEPT	{'ACCEPT': 1}	no one player grows everything that satisfies all five nutrient groups — the diet gap is what makes the food economy rea
1	False	appleseed	diet variety → forced food specialization → magic	no coherent route (diet buffs don't touch magic; forcing a link would be arbitrary)	magic		REJECT	{'REJECT': 1}	no thematic or mechanical connection between nutrition groups and magic production; forced edge
1	False	appleseed	appleseed balanced-diet buff (requires diversity across all 5 nutrient groups)	config/mechanic — explicitly configure each group's buff to include a small movement/speed benefit (Grains), brief regeneration (Protein), or fire/cold resistance (relevant to Cold Sweat)	survival	M-26	ACCEPT	{'ACCEPT': 1}	wiring the diet buffs to Cold Sweat pressure (e.g. balanced diet reduces cold threshold slightly, diet imbalance worsens
1	True	blueprint	blueprint:template_chest (its one item)	any recipe	any		REJECT	{'REJECT': 1}	a single vanilla-style util chest is too trivial to anchor a pillar; the 13 c:tags are framework scaffolding for Abnorma
9	False	bountiful	bountiful objective pool	farm/harvest outputs from Serene Seasons crops	survival	M-16	ACCEPT	{'REJECT': 1, 'ACCEPT': 8}	M-16 is a reagent-gating motif (season-gated input → method); pointing Decrees at seasonal crops is a config/data decisi
9	True	bountiful	bountiful bounty reward pool	numismatics coin payout (set decree reward = numismatics:cog/spur)	economy	M-08	ACCEPT	{'ACCEPT': 8, 'REJECT': 2}	every bounty board pays out in the pack's coin — the board is the economy's primary faucet and Numismatics earns a deman
5	False	bountiful	bountiful objective pool (configurable)	Create-processed goods as required items (e.g. iron sheet, brass ingot, processed crops)	create	M-12	ACCEPT	{'ACCEPT': 5}	Decrees that request Create-processed intermediates mean the bounty board pulls players toward the Create spine — the de
4	False	bountiful	bountiful objective pool	magic reagents as required items (ars source gem, occultism spirit solution)	magic	M-02	ACCEPT	{'ACCEPT': 4}	a bounty that asks for an Ars gem or an occultism reagent ties magic crafting into the economy loop — magic specialists 
4	True	bountiful	bounty payout reward	numismatics (set reward to cog/spur)	economy	M-08	ACCEPT	{'ACCEPT': 3, 'REJECT': 1}	bounty boards pay out Numismatics coin instead of vanilla gold — the early money faucet binds Bountiful into the economy
