times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
11	False	aeronautics	aeronautics:adjustable_burner (hot-air lift source — burns furnace fuel)	config tag-JSON extending its fuel tag to include TFMG diesel/gasoline (M-13 fuel→propulsion)	create	M-13	ACCEPT	{'ACCEPT': 11}	a hot-air airship's burner accepts refined diesel alongside coal/charcoal — the fuel refinery (TFMG specialists) becomes
8	False	aeronautics	levitite	`ars_nouveau:imbuement` — refined levitite as an arcane levitation catalyst (anti-gravity maps naturally to flight/levitation spells)	magic	M-10	ACCEPT	{'ACCEPT': 6, 'REJECT': 2}	The material that defies gravity feeds the Levitation glyph — an Ars mage grinds a levitite chip into source.
7	False	aeronautics	aeronautics:levitite (crystallized lift material — post-blend in-world step)	ars_nouveau:imbuement or KubeJS catalyst requirement (M-10 arcane infusion pull — require an Ars/Occultism catalyst adjacent during the in-world crystallization step)	magic	M-10	ACCEPT	{'ACCEPT': 6, 'REJECT': 1}	raw levitite blend crystallizes only in the presence of an active arcane attunement (a source gem placed adjacent during
5	False	aeronautics	aeronautics:levitite_blend crystallization step (in-world, code-recipe)	KubeJS catalyst (Ars/Occultism catalyst adjacent to crystallization block)	magic	M-10	ACCEPT	{'ACCEPT': 4, 'REJECT': 1}	levitite won't crystallize without an arcane catalyst placed beside it — the sky-ship builder must trade with the mage. 
5	False	aeronautics	rope coupling / docking connector (simulated:rope_coupling)	config/structure-tie	economy	M-31	ACCEPT	{'REJECT': 1, 'ACCEPT': 4}	this is a config/flavor observation, not an authorable method-pull — rope+dock doesn't gate demand or require a recipe; 
4	False	aeronautics	aeronautics levitite blend in-world crystallization step	ars_nouveau:imbuement or occultism:spirit_fire catalyst	magic	M-10	ACCEPT	{'ACCEPT': 4}	the levitite crystallization is code (not JSON), so KubeJS can require an Ars Nouveau or Occultism catalyst placed adjac
4	False	aeronautics	aeronautics:levitite_blend (create:mixing, zinc + end-stone powder) → numismatics mint	create:pressing → numismatics	economy	M-08	ACCEPT	{'ACCEPT': 4}	levitite is the pack's lift material — every ship builder needs it; zinc-gated scarcity means the region that controls z
4	False	aeronautics	levitite blend (aeronautics:levitite_blend)	create:mixing (zinc nugget + end_stone_powder + water)	economy	M-30	ACCEPT	{'ACCEPT': 4}	zinc is regionally scarce and levitite blend is the lift-material every builder needs — a zinc-rich region becomes the s
3	True	aeronautics	levitite (anti-gravity lift reagent, scarce)	numismatics trade / loot-seed — levitite or a levitite-infused ingot as a high-value regional commodity (sold for coin or found in sky-structure loot)	economy	M-08	ACCEPT	{'ACCEPT': 3}	Anti-gravity ore is regional and scarce — of course it trades at a premium; a chest in a sky ruin holds a sliver of it.
3	False	aeronautics	aeronautics borehead bearing (flying drill contraption)	create:crushing output → numismatics mint (M-08 — the borehead mines ore; that ore gets Create-crushed → minted)	economy	M-08	ACCEPT	{'ACCEPT': 2, 'REJECT': 1}	an airborne mining rig (borehead bearing contraption) is the pack's most automated ore extractor — its ore output flows 
3	False	aeronautics	aeronautics:levitite (zinc-gated bulk lift block, every airship needs it)	create:mixing → economy (Numismatics)	economy	M-08	ACCEPT	{'ACCEPT': 3}	zinc-processed levitite blend minted or traded through Numismatics — whoever mass-produces lift material becomes the ser
2	False	aeronautics	aeronautics levitite crystallization step (in-world, code-only)	M-22 lunar-event gating (crystallization only completes during a specific moon phase — KubeJS)	magic	M-22	ACCEPT	{'ACCEPT': 2}	levitite doesn't just crystallize — it needs the right sky to set; the blend sits inert until the moon's pull aligns, wh
2	False	aeronautics	aeronautics:adjustable_burner (hot-air lift alternative)	config tag-extension	aeronautics	M-13	ACCEPT	{'ACCEPT': 2}	the adjustable burner currently burns furnace fuel (coal/charcoal); extending the fuel tag to include TFMG diesel/gasoli
