times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
18	False	alexsmobs	alexsmobs:ender_residue (End biome drop, exotic)	occultism:spirit_fire	magic	M-11	ACCEPT	{'ACCEPT': 18}	Ender residue dissolves into an occult essence under spirit-fire — the void seeps into the ritual web
16	False	alexsmobs	alexsmobs:ambergris (mid drop, whale-type mob)	occultism:spirit_fire	magic	M-02	ACCEPT	{'ACCEPT': 17}	ambergris is ancient sea-creature biology; spirit-fire distilling it into an occult essence reads as obviously right — w
14	True	alexsmobs	alexsmobs:void_worm_beak (+ void_worm cartilage/parts)	a complex Create/tech recipe gated on the beak (boss-key)	create	M-15	ACCEPT	{'ACCEPT': 14}	the Void Worm is alexsmobs' endgame boss; its beak is the perfect DESIGN on-ramp gate item for a flagship Create/aeronau
14	False	alexsmobs	alexsmobs:bear_dust / bone-type drops	create:crushing → bone meal / crushed intermediate	create	M-02	ACCEPT	{'REJECT': 2, 'ACCEPT': 12}	bear_dust and standard bone-type drops are not a strong enough reason — vanilla bones already crush; this is not a meani
13	True	alexsmobs	alexsmobs:ambergris (rare whale-adjacent drop — high rarity, exotic material)	ars_nouveau:imbuement	magic	M-10	ACCEPT	{'ACCEPT': 12, 'REJECT': 2}	Ambergris has been a prized arcane ingredient since alchemy's earliest days — imbuing it into an arcane reagent is exact
11	False	alexsmobs	alexsmobs:bear_dust (rare, combat drop)	occultism:ritual	magic	M-02	ACCEPT	{'ACCEPT': 11}	Ground bear-matter is a traditional catalyst in old-world rituals — the wilderness brings reagents to the altar
10	False	alexsmobs	alexsmobs:ambergris (rare ocean-mob drop — sperm whale analogue)	occultism:spirit_fire → spirit-reagent	magic	M-11	ACCEPT	{'ACCEPT': 9, 'REJECT': 1}	a lump of ambergris crackling in the spirit flame smells of deep-sea ritual; exactly the exotic organic the occultists w
8	False	alexsmobs	alexsmobs:ender_residue (mid/endgame drop, end-touched mob)	occultism:spirit_fire	magic	M-02	ACCEPT	{'ACCEPT': 8}	ender_residue is literally end-dimension matter condensed; spirit-fire transmuting it into a void/ender essence is exact
8	False	alexsmobs	alexsmobs:banana / alexsmobs:acacia_blossom (everyday organic outputs)	farmersdelight:cutting or extradelight:juicer → food ingredients	survival	M-12	REJECT	{'REJECT': 4, 'ACCEPT': 4}	this lands in the survival-only cluster; it adds food processing but doesn't add a *second* pillar for alexsmobs (still 
7	True	alexsmobs	alexsmobs mob drops (general)	M-34 combat-route supply — rare drops (void_worm_beak, ambergris, ender_residue) are farmed by combat specialists and traded to magic/Create players	economy	M-34	ACCEPT	{'ACCEPT': 7}	Alex's mobs are the pack's main exotic-drop source; framing them as a combat-specialist supply route (hunt the worm → be
5	False	alexsmobs	alexsmobs:skunk_spray (environmental, common)	create:mixing	create	M-12	REJECT	{'REJECT': 4, 'ACCEPT': 1}	Skunk spray is a passive environmental annoyance mechanic — routing it through Create mixing as a chemical intermediate 
5	False	alexsmobs	alexsmobs:banana (tropical food, renewable from leafcutter mobs)	farmersdelight:cooking or extradelight:vat (ferment→spirit)	economy	M-12	ACCEPT	{'ACCEPT': 4, 'REJECT': 1}	bananas from Alex's tropical fauna → fermented into a sellable spirit — the ecosystem feeds the economy.
5	False	alexsmobs	alexsmobs:ender_residue (void worm drop, endgame)	ars_nouveau:imbuement → arcane reagent	magic	M-10	ACCEPT	{'ACCEPT': 5}	ender residue is the End's answer to nether wart; the enchanting apparatus drinks it to push spells deeper into the void
5	False	alexsmobs	alexsmobs:banana (common drop, edible)	farmersdelight:cooking / extradelight:vat	create	M-12	REJECT	{'REJECT': 3, 'ACCEPT': 2}	banana is everyday food-level; routing it through cooking is a valid M-12 but this mod already has the survival anchor, 
4	True	alexsmobs	alexsmobs:void_worm_beak / soul-flavored drops	occultism:ritual / spirit_fire	magic	M-11	ACCEPT	{'ACCEPT': 3, 'REJECT': 1}	void-worm remains transmuted at a pentacle into a high-tier essence — an endgame drop earning an endgame ritual. Coheren
4	True	alexsmobs	alexsmobs mob bones/shells/dust (e.g. bear_dust, hard shells)	create:crushing / mixing	create	M-03	ACCEPT	{'ACCEPT': 2, 'REJECT': 2}	crushable mob byproducts (shells→powder, bone→meal) feed Create processing — a second, mechanical sink so fauna also tou
4	False	alexsmobs	alexsmobs:bear_dust	recipe (create:mixing or ars_nouveau:imbuement)	create	M-12	ACCEPT	{'ACCEPT': 3, 'REJECT': 1}	bear dust is a fine-grain organic material — logical to mix into a paste/compound (Create) or infuse into a nature-attun
4	False	alexsmobs	alexsmobs:void_worm (boss fight) → alexsmobs:void_worm_beak / effigy drop	boss-key gating	create	M-15	ACCEPT	{'ACCEPT': 4}	The void worm is an endgame boss; its beak or effigy part unlocking a high-tier Create/tech recipe is the pack's explici
3	False	alexsmobs	alexsmobs:bear_dust (everyday — common bear drop)	create:crushing	create	M-03	ACCEPT	{'REJECT': 1, 'ACCEPT': 2}	crushing bear_dust → generic bonemeal equivalent is a red-herring; bonemeal already exists and the intermediate adds not
3	False	alexsmobs	alexsmobs exotic drops (broad: banana, capsid, straddlite, bison_fur)	farmersdelight:cutting / create:crushing	create	M-12	ACCEPT	{'ACCEPT': 3}	diverse organic drops from Alex's mobs (furs, fruits, biological material) feed Create's crushing or Farmer's Delight cu
3	False	alexsmobs	alexsmobs:bear_fur / bison_fur	cold_sweat sewing table (insulation)	survival	M-26	ACCEPT	{'ACCEPT': 3}	Alex's fauna supply the fur that cold_sweat demands for insulation; hunting bears and bison creates ongoing resource dem
2	False	alexsmobs	alexsmobs:void_worm_beak / void_worm_effigy (flagship endgame boss parts)	create:sequenced_assembly	create	M-06	ACCEPT	{'ACCEPT': 2}	The void worm's beak is the keystone component in a sequenced airship weapon assembly — defeating the void unlocks the n
2	True	alexsmobs	alexsmobs mid mob-drops (bear_dust, skunk_spray, shells, etc.)	occultism:spirit_fire / ars imbuement	magic	M-02	ACCEPT	{'ACCEPT': 2}	the canonical mob-drop reagent sink — exotic fauna drops become ritual/infusion inputs so the bestiary feeds the magic w
2	True	alexsmobs	alexsmobs:leafcutter_anthill (passive leaf→resource generator)	create:* automation	create		REJECT	{'REJECT': 2}	no-motif — it's a self-contained passive generator; "automate it with Create" is a vibe, not a material-through-method r
2	False	alexsmobs	alexsmobs:void_worm_beak (rare/endgame boss drop)	create:crushing → exotic powder / byproduct intermediate	create	M-02	REJECT	{'REJECT': 2}	the void worm beak is already a plausible boss-key gate item (M-15); routing it through Create crushing as well risks di
2	False	alexsmobs	alexsmobs:bear_dust (common bear kill drop)	occultism:spirit_fire	magic	M-11	ACCEPT	{'ACCEPT': 2}	Bear dust reads as a primal, earthy spirit component — one light spirit-fire step makes it a low-tier occult reagent, de
2	False	alexsmobs	alexsmobs:ender_residue (End mob drop block)	create:haunting	create	M-19	ACCEPT	{'ACCEPT': 2}	ender residue run through Create's soul-fire haunting yields a haunted ender catalyst — a bridge between the End's alien
2	False	alexsmobs	alexsmobs:void_worm_beak (boss drop, end-tier)	occultism:ritual (as boss-key ritual component)	magic	M-15	ACCEPT	{'ACCEPT': 2}	the Void Worm is the pack's End apex predator; its beak as the keystone for an advanced Occultism ritual gate (e.g. Grea
2	False	alexsmobs	alexsmobs:leafcutter_anthill (passive resource generator)	minecolonies colony requests	economy	M-28	REJECT	{'REJECT': 2}	the anthill passively generates materials but it's a block placed by the player, not a colony building route; M-28 requi
