times_suggested	from_opus	mod	from	via	to_pillar	motif	consensus	verdicts	hook
15	True	betterstrongholds	betterstrongholds loot tables	loot-seed	magic	M-02	ACCEPT	{'ACCEPT': 15}	forgotten magical reagents (source gems, arcane essences) lie in the library's sealed chests — the stronghold's scholars
13	True	betterstrongholds	betterstrongholds loot tables	loot-seed	economy	M-08	ACCEPT	{'ACCEPT': 11, 'REJECT': 2}	the deepest rooms of the stronghold yield a handful of old coins — wealth from an abandoned civilization, not an exploit
12	True	betterstrongholds	betterstrongholds loot tables	loot-seed	create	M-15	REJECT	{'ACCEPT': 5, 'REJECT': 7}	a schematic fragment or machine blueprint hidden in the stronghold's vault gates a complex Create recipe — the Eye of En
5	False	betterstrongholds	stronghold chest loot	loot-seed	magic	M-02	ACCEPT	{'ACCEPT': 5}	the stronghold's ancient scholars left behind occult reagents (occultism books, ars_nouveau source gems, iron's spellboo
5	False	betterstrongholds	betterstrongholds loot chests	loot-seed	economy	M-34	ACCEPT	{'ACCEPT': 5}	seed a scarce trade-worthy component (e.g. a Numismatics blank coin strip or a boss-key ingredient) into the stronghold'
3	False	betterstrongholds	stronghold chest loot	loot-seed	economy	M-08	ACCEPT	{'ACCEPT': 3}	finding a coin stash in the stronghold library's chest signals that someone else already plundered this place — and now 
3	False	betterstrongholds	stronghold chest loot	loot-seed	create	M-15	REJECT	{'REJECT': 2, 'ACCEPT': 1}	M-15 is a boss-key unlock (a boss DROP gates a complex recipe). The stronghold has no boss of its own — it contains the 
2	False	betterstrongholds	betterstrongholds loot tables	loot-seed	magic	M-15	ACCEPT	{'ACCEPT': 2}	Seed a boss-key component (a rare Create-gated recipe unlock shard) deep in stronghold chests — the stronghold as the ga
2	False	betterstrongholds	betterstrongholds loot tables	loot-seed — seed a companions mod rare drop or a Cataclysm early-boss key component into the Stronghold's trap/boss-room chests, giving the dungeon an escalating danger payoff that connects to the pack's boss economy	survival	M-34	ACCEPT	{'ACCEPT': 2}	the Stronghold's deadliest room guards a component that a combat specialist can sell to the tech players — dungeon-delvi
1	False	betterstrongholds	Better Strongholds dungeon chests (loot=yes, custom rooms/traps)	loot-seed (datapack edit)	economy	M-08	ACCEPT	{'ACCEPT': 1}	a stronghold is the pack's most concentrated mid-tier dungeon run — seeding Numismatics coin (or coin-components) into i
1	False	betterstrongholds	Better Strongholds boss/hidden room chests	loot-seed	magic	M-02	ACCEPT	{'ACCEPT': 1}	the stronghold's deepest secrets yielding rare magic reagents (an Ars source gem fragment or Occultism ritual component)
1	False	betterstrongholds	Better Strongholds chests	loot-seed	magic	M-15	REJECT	{'REJECT': 1}	M-15 is specifically boss-key unlocks (a boss drop gates a complex recipe) — the strongholds mod has no boss entity of i
1	False	betterstrongholds	(stronghold chest loot tables)	loot-seed	economy	M-08	ACCEPT	{'ACCEPT': 1}	YUNG's strongholds are richer than vanilla with 15+ room types and custom chest loot; seeding a numismatics coin (or coi
1	False	betterstrongholds	(stronghold chest loot tables)	loot-seed	magic	M-02	ACCEPT	{'ACCEPT': 1}	the stronghold is the pack's "ancient knowledge" structure; seeding a magic reagent (e.g. an Ars Nouveau source gem, an 
1	False	betterstrongholds	(stronghold chest loot tables)	loot-seed	create	M-15	REJECT	{'REJECT': 1}	M-15 is a boss-key unlock (boss drop gates complex recipe); betterstrongholds is a structure, not a boss. Its loot table
1	False	betterstrongholds	betterstrongholds loot tables (custom chests in 15+ room types)	loot-seed → numismatics coin + magic reagent drops	magic	M-08	ACCEPT	{'ACCEPT': 1}	Delving a YUNG stronghold yields coin caches and rare magic reagents in the deepest vaults — the dungeon is now an early
1	False	betterstrongholds	betterstrongholds loot tables	loot-seed	economy	M-15	ACCEPT	{'ACCEPT': 1}	A stronghold-exclusive boss-key fragment (a unique drop in the deepest room) gates a complex Create or magic recipe — ma
1	False	betterstrongholds	generic coin drop seeding	loot-seed	economy	M-08	REJECT	{'REJECT': 1}	if coins appear in every chest they become trivially abundant; the above accept is conditioned on the deep-treasure room
1	False	betterstrongholds	betterstrongholds loot tables (loot=yes, 15+ room types with custom chest loot)	loot-seed	magic	M-34	ACCEPT	{'ACCEPT': 1}	strongholds are now compelling mid-game content (traps, hidden rooms) — seed a boss-key fragment or magic reagent (arcan
1	False	betterstrongholds	betterstrongholds loot chests	loot-seed of everyday items	survival	M-26	REJECT	{'REJECT': 1}	doesn't add a second anchor; strengthening an already-established anchor is not a weave. The M-15 and M-34 seeds above a
1	False	betterstrongholds	stronghold loot	loot-seed	economy	M-34	ACCEPT	{'ACCEPT': 1}	strongholds are deadly — a combat specialist clears the rooms and sells the rare arcane drops (from the M-02 seed) to ma
1	False	betterstrongholds	betterstrongholds dungeon loot (deepest room/trap-room chests)	loot-seed	economy	M-37	ACCEPT	{'ACCEPT': 1}	seed a MineColonies ancienttome into the deepest stronghold vault — the scholar's library is where ancient colony record
6	False	comforts	comforts:sleeping_bag_* / hammock_*	create:milling or farmersdelight:cutting	create	M-12	REJECT	{'REJECT': 5, 'ACCEPT': 1}	milling a sleeping bag into wool/string is contrived recycling with no lore sense — a hammock is not a processing input;
