create_factory:cake_paste | create:mixing | c:milk create:dough create:mixing create_factory:cake_paste minecraft:egg minecraft:sugar neoforge:tag
create_factory:caramel_apple | create:filling | create:filling create_confectionery:caramel create_factory:caramel_apple minecraft:apple neoforge:mod_loaded neoforge:single
create_factory:caramel_roll | create:filling | create:filling create_confectionery:caramel create_factory:caramel_roll minecraft:bread neoforge:mod_loaded neoforge:single
create_factory:caramel_waffle | create:filling | create:filling create_confectionery:caramel create_factory:caramel_waffle create_factory:waffle neoforge:mod_loaded neoforge:single
create_factory:chocolate_apple | create:filling | create:chocolate create:filling create_factory:chocolate_apple minecraft:apple neoforge:single
create_factory:chocolate_roll | create:filling | create:chocolate create:filling create_factory:chocolate_roll minecraft:bread neoforge:single
create_factory:chocolate_waffle | create:filling | create:chocolate create:filling create_factory:chocolate_waffle create_factory:waffle neoforge:single
create_factory:dark_chocolate_apple | create:filling | create:filling create_confectionery:black_chocolate create_factory:dark_chocolate_apple minecraft:apple neoforge:mod_loaded neoforge:single
create_factory:dark_chocolate_roll | create:filling | create:filling create_confectionery:black_chocolate create_factory:dark_chocolate_roll minecraft:bread neoforge:mod_loaded neoforge:single
create_factory:dark_chocolate_waffle | create:filling | create:filling create_confectionery:black_chocolate create_factory:dark_chocolate_waffle create_factory:waffle neoforge:mod_loaded neoforge:single
create_factory:glow_berries_jam | create:mixing | create:mixing create_factory:glow_berries_jam minecraft:glow_berries minecraft:sugar
create_factory:glow_berries_jam_roll | create:filling | create:filling create_factory:glow_berries_jam create_factory:glow_berries_jam_roll minecraft:bread neoforge:single
create_factory:glow_berries_jam_waffle | create:filling | create:filling create_factory:glow_berries_jam create_factory:glow_berries_jam_waffle create_factory:waffle neoforge:single
create_factory:honey_glazed_berries | create:filling | c:honey create:filling create_factory:honey_glazed_berries minecraft:sweet_berries neoforge:tag
create_factory:honey_roll | create:filling | c:honey create:filling create_factory:honey_roll minecraft:bread neoforge:tag
create_factory:honey_waffle | create:filling | c:honey create:filling create_factory:honey_waffle create_factory:waffle neoforge:tag
create_factory:jar/black_jar | minecraft:crafting_shapeless | create_factory:black_jar create_factory:jars minecraft:black_dye minecraft:crafting_shapeless
create_factory:jar/blue_jar | minecraft:crafting_shapeless | create_factory:blue_jar create_factory:jars minecraft:blue_dye minecraft:crafting_shapeless
create_factory:jar/brown_jar | minecraft:crafting_shapeless | create_factory:brown_jar create_factory:jars minecraft:brown_dye minecraft:crafting_shapeless
create_factory:jar/cyan_jar | minecraft:crafting_shapeless | create_factory:cyan_jar create_factory:jars minecraft:crafting_shapeless minecraft:cyan_dye
create_factory:jar/gray_jar | minecraft:crafting_shapeless | create_factory:gray_jar create_factory:jars minecraft:crafting_shapeless minecraft:gray_dye
create_factory:jar/green_jar | minecraft:crafting_shapeless | create_factory:green_jar create_factory:jars minecraft:crafting_shapeless minecraft:green_dye
